board,reference,kind,side,anchor,x_mm,y_mm,rotation_deg,edge,edge_margin_mm,footprint,model,model_offset_mm,model_rotate_deg
01-power,J1,female,F.Cu,center,75.000000,55.149599,0.000000,bottom,3.000000,lib/footprints/woki.pretty/CONN_DF40_100P_F.kicad_mod,lib/cad/CONN_DF40_100P_F.stp,"0.100000,0.000000,1.500000","90.00,-180.00,90.00"
01-power,J3,jtag,B.Cu,center,92.449013,57.452962,-135.000000,,,,,
01-power,J4,jtag,B.Cu,center,57.104936,57.397038,-45.000000,,,,,
02-fpga-control,J1,male,B.Cu,center,75.000000,54.939200,180.000000,bottom,3.000000,lib/footprints/woki.pretty/CONN_DF40_100P_M.kicad_mod,lib/cad/CONN_DF40_100P_M.stp,"6.770000,-0.850000,0.600000","90.00,-180.00,-90.00"
02-fpga-control,J2,female,F.Cu,center,75.000000,94.850401,0.000000,top,3.000000,lib/footprints/woki.pretty/CONN_DF40_100P_F.kicad_mod,lib/cad/CONN_DF40_100P_F.stp,"0.100000,0.000000,0.000000","90.00,-180.00,90.00"
03-camera,J1,male,B.Cu,center,75.000000,95.060800,180.000000,top,3.000000,lib/footprints/woki.pretty/CONN_DF40_100P_M.kicad_mod,lib/cad/CONN_DF40_100P_M.stp,"6.770000,-0.780000,0.600000","90.00,-180.00,-90.00"
03-camera,J2,female,F.Cu,center,75.000000,55.149599,0.000000,bottom,3.000000,lib/footprints/woki.pretty/CONN_DF40_100P_F.kicad_mod,lib/cad/CONN_DF40_100P_F.stp,"0.100000,0.000000,0.000000","90.00,-180.00,90.00"
04-ir-led,J1,male,B.Cu,center,75.000000,54.939200,180.000000,bottom,3.000000,lib/footprints/woki.pretty/CONN_DF40_100P_M.kicad_mod,lib/cad/CONN_DF40_100P_M.stp,"6.770000,-0.850000,0.600000","90.00,-180.00,-90.00"
